Features,Testcase,Result,Note
RBE,Vào RBE -> Tìm kiếm [ID_RBE] -> Chọn kết quả đầu tiên,,
,Vào RBE -> Click Add/Create -> Nhập EventID: [ID_Mới] -> Save,,
,Vào RBE -> Clone một ID bất kỳ -> Nhập EventID mới: [ID_Clone] -> Save,,
,Vào RBE -> Edit ID [ID_RBE] -> Cập nhật Tasks: [Giá_trị], Milestones: [Giá_trị], Leaderboards: [Giá_trị] -> Save,,
,Vào RBE -> Edit ID [ID_RBE] -> Export CSV,,
,Vào RBE -> Edit ID [ID_RBE] -> Import CSV file [Tên_File_Tasks.csv],,
,Vào RBE -> Edit ID [ID_RBE] -> Import CSV file [Tên_File_LB.csv],,
,Vào Contest Superstars -> Create -> Cập nhật thông tin -> Save,,
,Vào Featured Tab -> Edit ID [ID] -> Cập nhật thông tin -> Save,,
,Vào Feeder -> Edit ID [ID_Feeder] -> Cập nhật Tasks, MS, LB -> Save,,
,Vào Feeder -> Click Create -> Điền thông tin -> Save,,
,Vào Feeder -> Clone ID bất kỳ -> Nhập ID mới: [ID_Clone] -> Save,,
,Vào Feeder -> Edit ID [ID_Feeder] -> Cập nhật Task: [Giá_trị] -> Save,,
,Vào RBE -> Check Individual/Faction RBE: [Giá_trị],,
,Process Deployment chọn RBE -> Process,,
Offer,Vào Offer -> Tìm kiếm [Từ_khóa] -> Kiểm tra kết quả,,
,Vào Offer -> Click Create -> Tạo Offer standard và Alternative -> Save,,
,Vào Offer -> Edit ID [ID_Offer] -> Cập nhật Common, Details, Display -> Save,,
,Vào Offer -> Clone một ID bất kỳ -> Nhập OfferID mới: [ID_Clone] -> Save,,
,Vào Offer -> Import CSV file [Tên_File_Offer.csv],,
,Vào Offer -> Import CSV file [File_Duplicate_ID.csv] -> Kiểm tra lỗi,,
,Vào Offer -> Import CSV file [File_Invalid_Data.csv] -> Kiểm tra lỗi,,
,Vào LOC -> Click Create -> Nhập thông tin LOC mới -> Save,,
,Vào LOC -> Edit ID [ID_LOC] -> Cập nhật thông tin -> Save,,
,Vào Segmentation Info -> Mở bảng -> Kiểm tra dữ liệu,,
,Vào Config -> Thêm key mới -> Save,,
,Vào Offer Section -> Click Create -> Nhập thông tin -> Save,,
,Vào Offer Section -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Offer Section -> Edit ID [ID_Section] -> Cập nhật thông tin -> Save,,
,Process Deployment chọn Offers -> Process,,
PVE,Vào PVE Book -> Tìm kiếm [ID_Book] -> Chọn kết quả,,
,Vào PVE Book -> Click Create -> Tạo Classic và Fightcard -> Save,,
,Vào PVE Book -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào PVE Book -> Edit ID [ID_Book] -> Cập nhật Book Info -> Save,,
,Vào Chapter -> Edit ID [ID_Chapter] -> Cập nhật Schedule, Loadout, Rewards -> Save,,
,Vào PVE Book -> Edit ID [ID_Book] -> Export CSV,,
,Vào PVE Book -> Edit ID [ID_Book] -> Import CSV file [File_Book.csv],,
,Vào Chapter -> Edit ID [ID_Chapter] -> Export CSV,,
,Vào Chapter -> Edit ID [ID_Chapter] -> Import CSV file [File_Chapter.csv],,
,Vào PVE Book -> Quick Import từ Design Doc,,
,Vào Chapter -> Click Create -> Điền thông tin -> Save,,
,Vào Match Type -> Edit ID [ID_Match] -> Cập nhật thông tin -> Save,,
,Vào Universal -> Bật toggle Universal -> Save,,
,Vào PVE -> Setup CSS -> Save,,
,Vào PVE -> Import CSS CSV file [File_CSS.csv] -> Save,,
,Vào PVE -> Copy và Paste cấu hình -> Save,,
,Process Deployment chọn PVE -> Process,,
Gacha,Vào Gacha Event -> Tìm kiếm [ID_Gacha] -> Chọn kết quả,,
,Vào Gacha Event -> Click Create -> Điền thông tin -> Save,,
,Vào Gacha Event -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Gacha Event -> Edit ID [ID_Gacha] -> Cập nhật Info, Display, Pool, Weight -> Save,,
,Vào Gacha Event -> Edit ID [ID_Gacha] -> Import Gacha Pool CSV file [File_Pool.csv] -> Cập nhật Bonus Strap, Medal, Gear, Poster -> Save,,
Currency,Vào Gacha Event -> Edit ID [ID_Gacha] -> Import Gacha Weight CSV file [File_Weight.csv],,
,Vào Gacha Event -> Edit ID [ID_Gacha] -> Cập nhật Gacha Weight có Guaranteed Rewards -> Save,,
,Vào Gacha Event -> Edit ID [ID_Gacha] -> Cập nhật Featured Items -> Save,,
,Process Deployment chọn Gacha Events -> Process,,
,Vào Currency -> Tìm kiếm [ID_Currency] -> Chọn kết quả,,
,Vào Currency -> Click Create -> Tạo thủ công -> Save,,
,Vào Currency -> Import CSV file [File_Currency.csv],,
,Vào Currency -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Currency -> Edit ID [ID_Currency] -> Export CSV,,
,Vào Currency -> Edit ID [ID_Currency] -> Cập nhật Icon Texture dùng trong Offer -> Save,,
,Vào Currency -> Edit ID [ID_Currency] -> Cập nhật thông tin -> Save -> Mở Offer/RBE/Gacha để kiểm tra,,
,Vào Currency -> Edit ID [ID_Currency] -> Cập nhật thông tin -> Save & Continue,,
,Process Deployment chọn Currency -> Process,,
Fight Card,Vào Fight Card Event -> Tìm kiếm [ID_Event] -> Chọn kết quả,,
,Vào Fight Card Event -> Click Create -> Điền thông tin -> Save,,
,Vào Fight Card Event -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Fight Card Event -> Edit ID [ID_Event] -> Cập nhật Rewards, Slots, PVE, Basic Info -> Save,,
,Process Deployment chọn Fight Card -> Process,,
Localization,Vào LOC -> Tìm kiếm [ID_LOC] -> Chọn kết quả,,
,Vào LOC -> Click Create -> Điền thông tin thủ công -> Save,,
,Vào LOC -> Import CSV file [File_LOC.csv],,
,Vào LOC -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào LOC -> Edit ID [ID_LOC] -> Export CSV,,
,Vào LOC -> Edit ID [ID_LOC] -> Cập nhật LOC ID, Content thủ công -> Save,,
,Vào LOC -> Edit ID [ID_LOC] -> Import CSV file [File_LOC_Edit.csv],,
,Process Deployment chọn Localization -> Process,,
Showdown,Vào Showdown Event -> Tìm kiếm [ID_SD] -> Chọn kết quả,,
,Vào Showdown Event -> Click Create -> Điền thông tin -> Save,,
,Vào Showdown Event -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Showdown Event -> Edit ID [ID_SD] -> Cập nhật Info, LB Rewards, Division Config, Rule Restriction, Noto reset bracket -> Save,,
,Vào Showdown Event -> Edit ID [ID_SD] -> Thiết lập Notoriety reset brackets -> Save,,
,Process Deployment chọn Showdown -> Process,,
Faction Feud,Vào Faction Feud Event -> Tìm kiếm [ID_Feud] -> Chọn kết quả,,
,Vào Faction Feud Event -> Click Create -> Điền thông tin -> Save,,
,Vào Faction Feud Event -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Faction Feud Event -> Edit ID [ID_Feud] -> Cập nhật thông tin -> Save,,
,Vào Faction Feud Event -> Edit ID [ID_Feud] -> Export CSV,,
,Vào Faction Feud Event -> Edit ID [ID_Feud] -> Import CSV file [File_Rewards.csv],,
,Process Deployment chọn Faction Feud -> Process,,
Grabbag,Vào Grabbag V2 -> Tìm kiếm [ID_Bag] -> Chọn kết quả,,
,Vào Grabbag V2 -> Click Create -> Điền thông tin -> Save,,
,Vào Grabbag V2 -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Grabbag V2 -> Edit ID [ID_Bag] -> Cập nhật Info, Token, Pull & Pool, Display -> Save,,
,Process Deployment chọn Grabbag -> Process,,
Faction Boss,Vào Faction Boss -> Tìm kiếm [ID_Boss] -> Chọn kết quả,,
,Vào Faction Boss -> Click Create -> Điền thông tin -> Save,,
,Vào Faction Boss -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Faction Boss -> Edit ID [ID_Boss] -> Cập nhật Battle Details -> Save,,
,Vào Faction Boss -> Edit ID [ID_Boss] -> Cập nhật Boss Details -> Save,,
