Condition,Description,Count,Complete Types 1,Complete Types 2,Complete Types 3,Score,Deeplink,Deeplink Description,Start Time,End Time,Min League,Max League,Attempt,Is Hidden,Accumulated
expendItem,!!RBE_PTD_MAY2025_WK3_SOLO_MAIN_1,1,currency:GachaShard_May2026_Wk3_Main,,,50000,whiplash://dat.Action.gacha/EventGacha_May2026_wk3_debut_penta_gear,!!R44_TASK_EXPENDITEM_DESCRIPT_DEFAULT,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
expendItem,!!RBE_PTD_MAY2025_WK3_SOLO_MAIN_1,1,currency:GachaShard_May2026_Wk3_Main,,,50000,whiplash://dat.Action.gacha/EventGacha_May2026_wk3_debut_penta_gear,!!R44_TASK_EXPENDITEM_DESCRIPT_DEFAULT,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
expendItem,!!RBE_PTD_MAY2025_WK3_SOLO_MAIN_1,1,currency:GachaShard_May2026_Wk3_Main,,,50000,whiplash://dat.Action.gacha/EventGacha_May2026_wk3_debut_penta_gear,!!R44_TASK_EXPENDITEM_DESCRIPT_DEFAULT,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
expendItem,!!RBE_PTD_MAY2025_WK3_SOLO_MAIN_1,1,currency:GachaShard_May2026_Wk3_Main,,,50000,whiplash://dat.Action.gacha/EventGacha_May2026_wk3_debut_penta_gear,!!R44_TASK_EXPENDITEM_DESCRIPT_DEFAULT,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
expendItem,!!RBE_PTD_MAY2025_WK3_SOLO_MAIN_2,1,currency:GachaShard_May2026_Wk3_Main,,,10000,whiplash://dat.Action.gacha/EventGacha_May2026_wk3_debut_penta_gear,!!R44_TASK_EXPENDITEM_DESCRIPT_DEFAULT,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,0,no,no
win,!!RBE_PTD_MAY2025_WK3_SOLO_MAIN_3,1,book:LTPVE_May2026_Wk3_Contest,group:Body_Penta,,1000,whiplash://dat.Action.book/LTPVE_May2026_Wk3_Contest,!!R44_TASK_WIN_DESCRIPT_DEFAULTSS,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,0,no,no
win,!!RBE_PTD_MAY2025_WK3_SOLO_MAIN_4,1,book:LTPVE_May2026_Wk3_Contest,group:Body_ISky,,1000,whiplash://dat.Action.book/LTPVE_May2026_Wk3_Contest,!!R44_TASK_WIN_DESCRIPT_DEFAULTSS,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,0,no,no
obtainItem,!!RBE_PTD_MAY2025_WK3_SOLO_FBCOINS,1,currency:BossShopCurrency,,,1,whiplash://dat.Action.faction_boss,!!R44_TASK_OPENITEM_DESCRIPT,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,0,no,no
Signpost,!!RBE_PTD_MAY2025_WK2_SOLO_MAIN_21,1,,,,0,whiplash://dat.Action.book/LTPVE_May2026_Wk3_Contest,,,,7,24,0,no,no
winBossBattle,!!RBE_PTD_MAY2025_WK3_SOLO_BOSS_23_PENTA,1,difficulty:23,superstar:SS_Penta_ZeroFear,,200000,whiplash://dat.Action.faction_boss,,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
winBossBattle,!!RBE_PTD_MAY2025_WK3_SOLO_BOSS_14_PENTA,1,difficulty:14,superstar:SS_Penta_ZeroFear,,150000,whiplash://dat.Action.faction_boss,,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
winBossBattle,!!RBE_PTD_MAY2025_WK3_SOLO_BOSS_16_MRIGUANA,1,difficulty:16,superstar:SS_MrIguana_LaYezca,,100000,whiplash://dat.Action.faction_boss,,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
winBossBattle,!!RBE_PTD_MAY2025_WK3_SOLO_BOSS_15_MEXICAN,1,difficulty:15,group:Country_Mexico,,100000,whiplash://dat.Action.faction_boss,,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
winBossBattle,!!RBE_PTD_MAY2025_WK3_SOLO_BOSS_16_STRIKER,1,difficulty:16,group:Color_Black,,100000,whiplash://dat.Action.faction_boss,,"05/19/2026, 08:30","05/19/2026, 11:00",7,24,1,no,no
