Notoriety Min,Notoriety Max,Base Player XP Reward On Win,Energy Cap,Elo Mod,Talent Mod,Attack Cooldown,Attack Time Scale,Redundant Matches Mod,Previous Opponent Mod,Division Name,Tier Name,Icon
0,599,100,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_PROSPECT,!!R71_VS_DIVISION,PVPLeague_00_V2
600,1399,150,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_NXT,!!R71_VS_DIVISION,PVPLeague_00_V2
1400,2199,200,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_NXTNACHAMP,!!R71_VS_DIVISION,PVPLeague_01_V2
2200,3349,250,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_NXTCHAMP,!!R71_VS_DIVISION,PVPLeague_02_V2
3350,4499,300,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_MAINROSTER,!!R71_VS_DIVISION,PVPLeague_03_V2
4500,5749,350,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_MAINEVENT,!!R71_VS_DIVISION,PVPLeague_04_V2
5750,6899,350,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_USCHAMP,!!R71_VS_DIVISION,PVPLeague_05_V2
6900,8099,400,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_INTERCHAMP,!!R71_VS_DIVISION,PVPLeague_06_V2
8100,9649,400,2,1,0,240,0.2,0.4,1,!!R36_PVP_LEAGUE_NAME_WORLDCHAMPION,!!R71_VS_DIVISION,PVPLeague_07_V2
9650,11749,500,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_HEAVYWEIGHT,!!R71_VS_DIVISION,PVPLeague_08_V2
11750,999999,500,2,1,0,240,0.2,0.4,1,!!R71_VS_DIVISION_UNDISPUTED,!!R71_VS_DIVISION,PVPLeague_08_V2
