Features,Testcase,Result,Note
RBE,Search for an RBE: Vào RBE -> Filter một ID bất kỳ,,
,"Create a new RBE: Vào RBE -> Bấm vào nút New Rules Based Event -> Radio: Solo -> Save -> Đợi trang load -> Sửa Rules Based Tournament ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, Gate: LiveOpsTest, Event Name: !!BUTTON_CANCEL, Event Description: !!BUTTON_CANCEL, Event Marquee Text: !!BUTTON_CANCEL, Schedule in UTC: 2026-05-22 00:00, 2026-05-22 11:00, Preview Time: 3600, Expired Time: 3600, Event Icon: RBE_Icon_Generic, Event Hub Banner Texture: RBE_Fac_Wrapper_Wknd3_May2026, Event Sidebar Icon: RBE_Icon_Generic, Gradient Image: RBE_banner_1_purple, Point Currency: PointCurrency_QuanVM_LiveopsTest_RBE_1 -> Save",,
,"Clone an RBE: Vào RBE -> Clone RBE contain Solo bất kỳ -> Cloned Rules Based Tournament ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, Gate: LiveOpsTest -> Đợi trang load -> Sửa Event Name: !!BUTTON_CANCEL, Event Description: !!BUTTON_CANCEL, Event Marquee Text: !!BUTTON_CANCEL, Schedule in UTC: 2026-05-22 00:00, 2026-05-22 11:00, Preview Time: 3600, Expired Time: 3600, Point Currency: PointCurrency_QuanVM_LiveopsTest_RBE_1 -> Save",,
,"Edit an RBE (Tasks, MS, LB) then Save: Vào RBE -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Tasks -> Save -> Bấm vào tab Milestones -> Save -> Bấm vào tab Leaderboards -> Save -> Bấm vào tab RBE Point Currency -> Save -> Bấm vào tab Currency -> Save -> Bấm vào tab Contest Superstars -> Save",,
,Import/Export Tasks: Vào RBE -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Tasks -> Export CSV -> Import CSV -> Save,,
,Import/Export Milestones: Vào RBE -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Milestones -> Export CSV -> Import CSV -> Save,,
,Import/Export Leaderboards: Vào RBE -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Leaderboards -> Export CSV -> Import CSV -> Save,,
,"Create/Edit the Contest Superstars then Save: Vào RBE -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Contest Superstars -> Bấm vào button Add Event -> Bấm vào PVP -> Sửa Event ID: VS_Tournament_May2026_hieunm_1205 -> Bấm vào Define Schedules -> Bấm vào Add Schedule, Start Time: 2026-05-18 19:00, End Time: 2026-05-22 19:00 -> Save -> Sửa Condition: Win against any rarity -> Bấm vào Add CSS -> Enter Superstars or Groups: Body_OOsbourne, Attempt: 10000 -> Save",,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox RBE-> Process,,
Offer,Perform a search with a few returned offers: Vào Offer -> Filter một ID bất kỳ,,
