Milestone Point,Rewards
3000,"Shard_DMysterio_Luchadores:28,GachaShard_Nov2025_ML_Armory_Loot:790,PointCurrency_Nov2025_ML_Week4_Special:785550"
2700,"Shard_DMysterio_Luchadores:17,GachaShard_Nov2025_ML_Armory_Loot:450,PointCurrency_Nov2025_ML_Week4_Special:449730"
2500,"Shard_DMysterio_Luchadores:17,GachaShard_Nov2025_ML_Armory_Loot:450,PointCurrency_Nov2025_ML_Week4_Special:449730"
2300,"Shard_DMysterio_Luchadores:22,GachaShard_Nov2025_ML_Armory_Loot:590,PointCurrency_Nov2025_ML_Week4_Special:589170"
2000,"Shard_DMysterio_Luchadores:12,GachaShard_Nov2025_ML_Armory_Loot:320,PointCurrency_Nov2025_ML_Week4_Special:319140"
1850,"Shard_DMysterio_Luchadores:12,GachaShard_Nov2025_ML_Armory_Loot:320,PointCurrency_Nov2025_ML_Week4_Special:319140"
1700,"Shard_DMysterio_Luchadores:17,GachaShard_Nov2025_ML_Armory_Loot:440,PointCurrency_Nov2025_ML_Week4_Special:441870"
1500,"Shard_DMysterio_Luchadores:7,GachaShard_Nov2025_ML_Armory_Loot:190,PointCurrency_Nov2025_ML_Week4_Special:191490"
1350,"Shard_DMysterio_Luchadores:7,GachaShard_Nov2025_ML_Armory_Loot:190,PointCurrency_Nov2025_ML_Week4_Special:191490"
1200,"Shard_DMysterio_Luchadores:11,GachaShard_Nov2025_ML_Armory_Loot:290,PointCurrency_Nov2025_ML_Week4_Special:294570"
1050,"Shard_DMysterio_Luchadores:5,GachaShard_Nov2025_ML_Armory_Loot:130,PointCurrency_Nov2025_ML_Week4_Special:127650"
900,"Shard_DMysterio_Luchadores:5,GachaShard_Nov2025_ML_Armory_Loot:130,PointCurrency_Nov2025_ML_Week4_Special:127650"
750,"Shard_DMysterio_Luchadores:7,GachaShard_Nov2025_ML_Armory_Loot:200,PointCurrency_Nov2025_ML_Week4_Special:196380"
550,"Shard_DMysterio_Luchadores:4,GachaShard_Nov2025_ML_Armory_Loot:100,PointCurrency_Nov2025_ML_Week4_Special:96240"
400,"Shard_DMysterio_Luchadores:4,GachaShard_Nov2025_ML_Armory_Loot:100,PointCurrency_Nov2025_ML_Week4_Special:96240"
350,"Shard_DMysterio_Luchadores:6,GachaShard_Nov2025_ML_Armory_Loot:150,PointCurrency_Nov2025_ML_Week4_Special:147300"
200,"Shard_DMysterio_Luchadores:3,GachaShard_Nov2025_ML_Armory_Loot:70,PointCurrency_Nov2025_ML_Week4_Special:73650"
75,"Shard_DMysterio_Luchadores:3,GachaShard_Nov2025_ML_Armory_Loot:80,PointCurrency_Nov2025_ML_Week4_Special:78540"
30,"Shard_DMysterio_Luchadores:1,GachaShard_Nov2025_ML_Armory_Loot:20,PointCurrency_Nov2025_ML_Week4_Special:24540"
